!03511426-n	heelless	0.0	[0]
-n	you	0.0	[0]
00001740-a	able	11.80952380952381	[34.0, 34.0, 0, 34.0, 0, 0, 0, 34.0, 22.5, 17.0, 17.0, 0.0, 0.0, 38.5, 17.0, 0.0, 0, 0, 0, 0, 0]
00001740-v	breathe	0.0	[0]
00002098-a	unable	-17.0	[-34.0, 0, -34.0, 0]
00002452-n	thing	0.0	[0]
00002621-r	just	0.0	[0]
00002621-r	hardly	-0.5	[0.0, -1.0]
00002684-n	object	0.0	[0, 0, 0, 0]
00002950-r	just	0.0	[0, 0]
00003093-r	hardly	-27.125	[0, -34.0, -51.0, -28.0, 0.0, 0.0, -40.0, -64.0]
00004258-n	living thing	0.0	[0]
00004722-r	merely	0.0	[0, 0]
00004722-r	only	-2.6923076923076925	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16.0, 0, 0, -30.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25.0, 0, 0, 0, -34.0, 0, 0]
00004722-r	just	0.0	[0, 0, 0, 0]
00004722-r	but	0.0	[0]
00004722-r	simply	0.0	[0, 0]
00004722-r	except	0.0	[0]
00005055-r	plainly	-23.0	[-23.0]
00005205-a	absolute	0.0	[0, 0]
00005526-v	pant	0.0	[0, 0, 0]
00006105-r	mostly	0.0	[0.0]
00006105-r	largely	0.0	[0]
00007015-r	about	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00007015-r	some	0.0	[0, 0]
00007015-r	roughly	-34.0	[-34.0]
00007015-r	just about	0.0	[0]
00007347-n	cause	4.25	[0, 8.5]
00007488-r	absolutely	0.0	[0]
00007703-r	partly	0.0	[0, 0, 0, 0]
00007703-r	part	0.0	[0]
00007739-v	blink	0.0	[0]
00007846-n	person	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00007846-n	someone	0.0	[0, 0, 0, 0, 0, 0]
00007846-n	somebody	0.0	[0, 0]
00007846-n	some one	0.0	[0]
00007884-r	half	0.0	[0]
00008007-r	entirely	0.25	[0, 0, 0, 0, 0, 0, 1.5, 1.5, 0.0, 0.0, 0, 0]
00008007-r	all	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008007-r	completely	8.5	[34.0, 0.0, 0.0, 0]
00008007-r	at all	0.0	[0]
00008600-r	entirely	0.0	[0, 0]
00008600-r	only	0.0	[0, 0, 0, 0, 0, 0]
00008600-r	alone	-11.0	[0, 0, -34.0, -10.0]
00008997-r	perfectly	46.275	[34.0, 64.0, 64.0, 23.1]
00008997-r	absolutely	34.53333333333333	[0, 60.05, 43.55]
00008997-r	utterly	0.0	[0, 0, 0.0]
00009618-a	spartan	-85.0	[-85.0]
00009966-r	pray	0.0	[0, 0, 0]
00009966-r	kindly	33.25	[34.0, 34.0, 34.0, 31.0]
00009966-r	please	6.666666666666667	[0, 0.0, 0.0, 0.0, 0.0, 40.0]
00010435-v	do	0.0	[0]
00010466-r	full	34.0	[34.0]
00010466-r	to the full	0.0	[0]
00010759-r	only	0.0	[0, 0]
00011011-r	only	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00011093-r	good	34.0	[34.0]
00011093-r	well	35.0	[39.0, 0, 35.5, 50.5, 50.0]
00011516-r	badly	-64.0	[-64.0]
00012267-v	make	0.0	[0]
00012531-r	well	12.333333333333334	[0, 0, 37.0]
00012531-r	easily	-35.0	[-35.0]
00012779-r	well	0.0	[0.0]
00013429-r	well	0.0	[0, 0]
00013662-a	tangible	34.0	[34.0]
00014201-v	shiver	-34.0	[-34.0, -34.0]
00014201-v	draw up	0.0	[0]
00014285-r	considerably	0.0	[0, 0, 0, 0, 0, 0]
00014285-r	well	0.0	[0.0]
00014549-v	move	0.0	[0]
00014742-v	sleep	0.0	[0, 0, 0, 0, 0, 0]
00014882-r	well	34.0	[34.0]
00015007-r	well	34.0	[34.0]
00015135-r	well	0.0	[0, 0, 0]
00015247-a	lush	34.0	[34.0]
00015388-n	animal	-16.928571428571427	[0, 0, -59.0, 0, -59.5, 0, 0]
00015388-n	creature	-7.714285714285714	[0, 0, 0, 0, -15.0, -14.0, -31.0, 0, 0, 0, 0, 0, -48.0, 0]
00015388-n	beast	-36.666666666666664	[-33.0, -31.0, -64.0, -43.0, -49.0, 0]
00015953-r	seriously	-22.666666666666668	[-34.0, -34.0, 0]
00015953-r	badly	-64.0	[-64.0]
00016240-r	badly	0.0	[0]
00017282-v	fall asleep	0.0	[0]
00017445-r	even	-6.25	[0, 0, 0, 0, 0, 0, 0, 0, -41.0, -34.0, 0, 0]
00017639-r	even	0.0	[0, 0, 0, 0, 0]
00017639-r	still	0.0	[0, 0]
00017639-r	yet	0.0	[0, 0]
00017865-v	go to bed	31.0	[0, 62.0]
00017865-v	retire	15.0	[15.0]
00017881-r	even as	0.0	[0, 0, 0, 0]
